NUM, BAND, TIME
1,0,1576263169
2,0,1576263170
3,0,1576263171
4,0,1576263172
5,0,1576263173
6,0,1576263174
7,0,1576263175
8,0,1576263176
9,0,1576263177
10,0,1576263178
11,0,1576263179
12,0,1576263180
13,0,1576263181
14,0,1576263182
15,0,1576263183
16,10295971840,1576263184
17,50083672064,1576263185
18,41452810240,1576263186
19,39888683008,1576263187
20,32785049600,1576263188
21,37389819904,1576263189
22,41192935424,1576263190
23,47023996928,1576263191
24,48855633920,1576263192
25,47453847552,1576263193
26,48313683968,1576263194
27,43374440448,1576263195
28,38366965760,1576263196
29,26353010688,1576263197
30,25417732096,1576263198
31,27645421568,1576263199
32,28199989248,1576263200
33,23858249728,1576263201
34,24641468416,1576263202
35,23038382080,1576263203
36,22361008128,1576263204
37,21505454080,1576263205
38,22177394688,1576263206
39,26317873152,1576263207
40,32312401920,1576263208
41,23824830464,1576263209
42,20782936064,1576263210
43,23183069184,1576263211
44,21549285376,1576263212
45,27767021568,1576263213
46,21397366784,1576263214
47,27235315712,1576263215
48,25678227456,1576263216
49,48957009920,1576263217
50,48553836544,1576263218
51,46092386304,1576263219
52,49250582528,1576263220
53,49729773568,1576263221
54,49938481152,1576263222
55,49727688704,1576263223
56,48649232384,1576263224
57,0,1576263225
58,0,1576263226
59,0,1576263227
60,0,1576263228
61,0,1576263229
62,0,1576263230
63,0,1576263231
64,0,1576263232
65,0,1576263233
66,0,1576263234
67,0,1576263235
68,0,1576263236
69,0,1576263237
70,0,1576263238
71,0,1576263239
72,0,1576263240
73,0,1576263241
74,0,1576263242
75,0,1576263243
76,0,1576263244
77,0,1576263245
